loannumber,dateapproved,sbaofficecode,processingmethod,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,term,sbaguarantypercentage,initialapprovalamount,currentapprovalamount,undisbursedamount,franchisename,servicinglenderlocationid,servicinglendername,servicinglenderaddress,servicinglendercity,servicinglenderstate,servicinglenderzip,ruralurbanindicator,hubzoneindicator,lmiindicator,businessagedescription,projectcity,projectcountyname,projectstate,projectzip,cd,jobsreported,naicscode,race,ethnicity,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,businesstype,originatinglenderlocationid,originatinglender,originatinglendercity,originatinglenderstate,gender,veteran,nonprofit,forgivenessamount,forgivenessdate
5008877103,04/13/2020,0593,PPP,"BAYVIEW SUN & SNOW MARINA, LLC",5350BAYVIEW RD,CELINA,OH,45822-9172,02/24/2021,Paid in Full,24,100,59387,59387,0,,57912,The Park National Bank,50 N Third St,NEWARK,OH,43055-5523,R,N,N,Existing or more than 2 years old,CELINA,MERCER,OH,45822-9172,OH-05,3,713930,White,Not Hispanic or Latino,2824,56563,,,,,,Limited  Liability Company(LLC),57912,The Park National Bank,NEWARK,OH,Male Owned,Non-Veteran,,59806.78,01/07/2021
1744517710,05/01/2020,0593,PPP,"NOWSTALGIC TOYS, INC.",120 N TRINE ST,CANAL WINCHESTER,OH,43110,05/21/2021,Paid in Full,24,100,59377,59377,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,CANAL WINCHESTER,FRANKLIN,OH,43110-0001,OH-15,4,423920,White,Not Hispanic or Latino,9744,23751,,10000,,10382,5500,Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Male Owned,Non-Veteran,,59918.49,04/02/2021
4103397203,04/27/2020,0593,PPP,"MSM PRODUCTS, LLC",1074 MCKINNEY LN,CENTERVILLE,OH,45458,05/21/2021,Paid in Full,24,100,59377,59377,0,,58129,The Richwood Banking Company,24 E Blagrove St,RICHWOOD,OH,43344-1009,U,N,N,Existing or more than 2 years old,CENTERVILLE,MONTGOMERY,OH,45458-1100,OH-10,2,339112,Unanswered,Unknown/NotStated,,59377,,,,,,Limited  Liability Company(LLC),58129,The Richwood Banking Company,RICHWOOD,OH,Unanswered,Unanswered,,41960.52,01/20/2021
1066227107,04/09/2020,0593,PPP,GUNZELMAN ARCHITECTURE - INTERIORS LLC,333 Stewart Ave,COLUMBUS,OH,43206-2727,07/15/2021,Paid in Full,24,100,59375,59375,0,,57805,The Middlefield Banking Company,15985 E High St,MIDDLEFIELD,OH,44062,U,N,N,Existing or more than 2 years old,COLUMBUS,FRANKLIN,OH,43206-2727,OH-15,4,541310,Unanswered,Not Hispanic or Latino,,59375,,,,,,Limited  Liability Company(LLC),57805,The Middlefield Banking Company,MIDDLEFIELD,OH,Unanswered,Unanswered,,60040.33,06/03/2021
1143727806,05/01/2020,0593,PPP,TRUNG &#X26; HOA L.L.C,3419 PENDLETON CIRCLE,MIDDLETOWN,OH,45005,05/18/2022,Paid in Full,24,100,59375,59375,0,,58036,Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263,U,N,N,New Business or 2 years or less,MIDDLETOWN,WARREN,OH,45005-0001,OH-01,7,,Unanswered,Unknown/NotStated,,59375,,,,,,Limited  Liability Company(LLC),58036,Fifth Third Bank,CINCINNATI,OH,Unanswered,Unanswered,,60521.27,04/21/2022
7532807001,04/07/2020,0593,PPP,WP LAND COMPANY,9352 Main St,CINCINNATI,OH,45242-7614,11/17/2021,Paid in Full,24,100,59375,59375,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,CINCINNATI,HAMILTON,OH,45242-7614,OH-01,5,236115,White,Not Hispanic or Latino,,59375,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,59947.6,04/15/2021
9561898806,04/23/2021,0549,PPP,DUTCH VALLEY HOMES INC.,222 Concord Ln,Hinckley,OH,44233-9662,08/23/2022,Paid in Full,60,100,59375,59375,0,,121536,Customers Bank,40 General Warren Blvd,Malvern,PA,19355,U,N,N,Existing or more than 2 years old,Hinckley,MEDINA,OH,44233-9662,OH-07,3,236115,Unanswered,Unknown/NotStated,,59375,,,,,,Corporation,122043,WebBank,SALT LAKE CITY,UT,Unanswered,Unanswered,,60097.26,07/15/2022
9727717705,05/01/2020,0549,PPP,FREDERICK SPENCER,873 BEECHWOOD DR,TALLMADGE,OH,44278,08/17/2021,Paid in Full,24,100,59375,59375,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,TALLMADGE,SUMMIT,OH,44278-0001,OH-13,18,,White,Not Hispanic or Latino,,59375,,,,,,Sole Proprietorship,57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,59343.29,06/16/2021
9808257700,05/01/2020,0593,PPP,FOUNDRY WAY TRANSPORTATION LLC,5100 River Valley Road,Milford,OH,45150,11/17/2021,Paid in Full,24,100,59375,59375,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,Milford,CLERMONT,OH,45150-0001,OH-02,4,423510,White,Not Hispanic or Latino,,59375,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,59856.51,02/26/2021
2505908408,02/03/2021,0593,PPS,AGRICULTURAL EXTENSION CAMPS INC,11461 Camp Ohio Rd,Saint Louisville,OH,43071-9613,03/10/2021,Paid in Full,60,100,59372,59372,0,,57464,The Community Bank,113 N Fifth St,ZANESVILLE,OH,43701-3533,R,N,N,Existing or more than 2 years old,Saint Louisville,LICKING,OH,43071-9613,OH-12,27,721214,Unanswered,Unknown/NotStated,1,59370,,,,,,Corporation,57464,The Community Bank,ZANESVILLE,OH,Unanswered,Unanswered,,60091.06,05/09/2022
